Nom;Catégorie;Energie (kcal);Protéines;Glucides;Lipides
Agar Agar;Divers/Gélifiants et liants;160;2,4;0;0,2
Sirop d'agave;Sucreries/Sucres et édulcorants;293;0,2;73,1;0
Macaronis de l'alpage, préparés;Plats/Autres plats salés/épicés;184;6,1;18,6;9
Amaretti (biscuits aux amandes);Sucreries/Biscuits;451;7,6;75,7;12,4
Ananas, sucré, conserve;Fruits/Fruits cuits (conserves comprises);87;0,4;20,2;0,2
Ananas, non sucré , conserve;Fruits/Fruits cuits (conserves comprises);51;0,4;11,3;0,2
Pomme, cuite,  égouttée (sans adjonction de sucre);Fruits/Fruits cuits (conserves comprises);72;0,4;15,4;0,4
Pomme, pelée, sechée;Fruits/Fruits secs;295;1,5;63,2;2
Tarte aux pommes, cuite au four (pâte feuilletée);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";142;2,3;16,5;7
Tarte aux pommes, cuite au four (pâte à gateau);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";134;2,7;18,8;4,9
Purée de pommes, sucrée, conserve;Fruits/Fruits cuits (conserves comprises);90;0,3;20,5;0,3
Purée de pommes, non sucrée, conserve;Fruits/Fruits cuits (conserves comprises);55;0,3;11,7;0,3
Jus de pomme;"Fruits/Jus de fruits;Boissons sans alcool/Jus de fruits et de légumes";44;0,1;10,8;0,1
Cidre de pomme, 4 vol%;Boissons alcoolisées/Vin;32;0;2,5;0
Cidre de pomme, 6.2 vol%;Boissons alcoolisées/Vin;64;0;7,3;0
Appenzeller, quart-gras;Lait et produits laitiers/Fromage à pâte dure;238;33,8;0;11,4
Appenzeller, gras;Lait et produits laitiers/Fromage à pâte dure;386;24,8;0;31,7
Abricot, cuit,  égoutté (sans adjonction de sucre);Fruits/Fruits cuits (conserves comprises);60;1;12,5;0,1
Abricot, sec;Fruits/Fruits secs;275;5;47,9;0,5
Abricot, sucré, conserve;Fruits/Fruits cuits (conserves comprises);84;0,7;19;0,1
Abricot, non sucré, conserve;Fruits/Fruits cuits (conserves comprises);48;0,8;10;0,1
Tarte aux abricots, cuite au four (pâte feuilletée);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";137;2,6;15,4;6,8
Tarte aux abricots, cuite au four (pâte à gateau);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";128;3;17,6;4,7
Aubergine, à l'étuveée (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);28;1,2;3,9;0,2
Aubergine, crue;Légumes/Légumes frais;23;1;3,1;0,2
Piccata d'aubergines, préparée;Plats/Autres plats salés/épicés;169;5,3;9,1;11,8
Tranches d'aubergine, panées, préparées;Plats/Autres plats salés/épicés;139;4,8;15,2;5,9
Charcuterie (moyenne);Produits carnés et charcuterie/Produits de charcuterie bouillis;289;14,1;0,7;25,5
Avocat, cru;"Légumes/Légumes frais;Noix, graines et produits oléagineux";144;1,8;0,8;14,2
Levure de boulangerie, pressée;"Divers/Levure;Divers/Ingrédients de boulangerie-pâtisserie";96;16,7;1,1;1,2
Bami Goreng, préparé;Plats/Plats asiatiques;137;14;14;2,6
Banane, déshydratée (chips);Fruits/Fruits secs;370;3,9;80,7;1,8
Banane, mi-sèche;Fruits/Fruits secs;273;3;60,2;1
Basilic, cru;Légumes/Herbes aromatiques;46;3,1;5,1;0,8
Leckerli de Bâle;Sucreries/Biscuits;404;6,9;74,8;7,6
Saucisse à rôtir de porc, grillée (sans adjonction de graisse ni de sel);Produits carnés et charcuterie/Produits de charcuterie crus;270;21,1;0,2;20,4
Saucisse à rôtir de porc, crue;Produits carnés et charcuterie/Produits de charcuterie crus;243;16,9;0,2;19,3
Pain paysan;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;240;9;44,5;2
Salami à la mode campagnarde;Produits carnés et charcuterie/Produits de charcuterie crus;532;20,6;0,8;49,5
